iter	RMSE
0	16.2330212
1	15.06122044
2	14.04154491
3	13.1395416
4	12.34508744
5	11.65184229
6	11.04613242
7	10.52384435
8	10.05859998
9	9.656766988
10	9.287525887
11	8.912625862
12	8.507825403
13	8.131648115
14	7.838678004
15	7.575799448
16	7.336232857
17	7.076037952
18	6.884024483
19	6.727199688
20	6.542472993
21	6.386626163
22	6.267805147
23	6.175777424
24	6.060313469
25	5.978350385
26	5.872437975
27	5.781727157
28	5.690905875
29	5.592246858
30	5.51274082
31	5.413350443
32	5.347356383
33	5.308754212
34	5.252253744
35	5.200739896
36	5.142341934
37	5.077891295
38	5.009558899
39	4.967525474
40	4.93552516
41	4.867097446
42	4.802566918
43	4.741802305
44	4.716551196
45	4.659500229
46	4.621391833
47	4.590978619
48	4.537077005
49	4.510877025
50	4.492537984
51	4.469153584
52	4.424411443
53	4.380201401
54	4.348977785
55	4.292664917
56	4.247892435
57	4.196910186
58	4.142989424
59	4.108657469
60	4.052075612
61	4.035825969
62	3.989506722
63	3.942001895
64	3.880282179
65	3.85636709
66	3.827000999
67	3.792792904
68	3.767984803
69	3.749986256
70	3.710458888
71	3.671376411
72	3.65058064
73	3.628465105
74	3.581024186
75	3.550071487
76	3.521155367
77	3.503288452
78	3.470359624
79	3.429468045
80	3.387049066
81	3.349609559
82	3.316870952
83	3.299462721
84	3.259169559
85	3.234453481
86	3.209910001
87	3.185880496
88	3.158942409
89	3.134526106
90	3.115116567
91	3.088016267
92	3.069859477
93	3.045723318
94	3.018816047
95	3.002218012
96	2.981081955
97	2.953033389
98	2.941387277
99	2.922519235
