iter	Passed	Remaining
0	4	663
1	7	603
2	10	572
3	14	557
4	17	547
5	20	537
6	23	529
7	27	522
8	30	516
9	33	511
10	37	511
11	40	511
12	44	506
13	47	501
14	50	496
15	53	492
16	57	487
17	60	482
18	63	477
19	66	471
20	69	467
21	72	462
22	75	458
23	78	453
24	82	449
25	86	454
26	89	449
27	93	445
28	96	441
29	99	437
30	102	433
31	105	428
32	108	424
33	111	420
34	114	416
35	118	413
36	121	409
37	124	405
38	127	401
39	130	397
40	133	394
41	136	391
42	139	387
43	143	384
44	146	380
45	149	376
46	152	373
47	155	370
48	158	366
49	162	362
50	165	359
51	168	357
52	171	353
53	174	349
54	177	346
55	181	343
56	184	340
57	187	336
58	190	333
59	194	330
60	197	326
61	200	324
62	204	320
63	207	317
64	210	313
65	213	310
66	216	306
67	219	303
68	222	299
69	225	296
70	228	292
71	231	289
72	232	283
73	235	280
74	238	277
75	242	273
76	245	270
77	248	267
78	249	261
79	252	258
80	255	255
81	258	252
82	261	249
83	262	244
84	266	241
85	269	237
86	272	234
87	275	231
88	278	228
89	281	225
90	284	222
91	289	220
92	292	216
93	295	213
94	298	210
95	301	207
96	304	204
97	308	201
98	311	197
99	314	194
100	317	191
101	320	188
102	323	185
103	326	182
104	329	179
105	333	175
106	336	172
107	339	169
108	342	166
109	345	163
110	348	160
111	351	157
112	355	153
113	358	150
114	361	147
115	364	144
116	367	141
117	370	138
118	373	135
119	376	131
120	380	128
121	383	125
122	386	122
123	389	119
124	392	116
125	395	113
126	398	109
127	402	106
128	405	103
129	408	100
130	411	97
131	414	94
132	417	91
133	420	87
134	423	84
135	426	81
136	429	78
137	432	75
138	435	72
139	439	68
140	442	65
141	445	62
142	448	59
143	452	56
144	455	53
145	458	50
146	462	47
147	465	44
148	468	40
149	471	37
150	474	34
151	477	31
152	481	28
153	484	25
154	487	22
155	490	18
156	493	15
157	496	12
158	499	9
159	502	6
160	505	3
161	509	0
